Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9573,0.948832,0.0,0.953047,11030,16219,2965089780,,0.000000,826604,.,.,534318.000000,292286.000000,,1.8280656617148956,791308,.,.,509078.000000,282230.000000,,1.803769974843213,35296,.,.,25240.000000,10056.000000,,2.5099443118536198,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,774293,.,.,475113.000000,282195.000000,,1.6836336575772073,41756,.,.,29707.000000,10164.000000,,2.922766627312082,0,.,.,0.000000,0.000000,,,0.9568625362418359,0.9577342390897224,0.9483518474561431,0.9493079767655752,0.0,4.52040394205433e-06
INDEL,*,*,PASS,*,QUAL,*,0.9573,0.948832,0.0,0.953047,11030,16219,2965089780,,0.000000,826604,.,.,534318.000000,292286.000000,,1.8280656617148956,791308,.,.,509078.000000,282230.000000,,1.803769974843213,35296,.,.,25240.000000,10056.000000,,2.5099443118536198,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,774293,.,.,475113.000000,282195.000000,,1.6836336575772073,41756,.,.,29707.000000,10164.000000,,2.922766627312082,0,.,.,0.000000,0.000000,,,0.9568625362418359,0.9577342390897224,0.9483518474561431,0.9493079767655752,0.0,4.52040394205433e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2965089780,,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.975,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2965089780,,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.975,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.224138,0.0,0.0,0.0,0,0,2965089780,,0.000000,174,.,.,174.000000,0.000000,,,39,.,.,39.000000,0.000000,,,135,.,.,135.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.16704782690160114,0.2903163423031767,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.224138,0.0,0.0,0.0,0,0,2965089780,,0.000000,174,.,.,174.000000,0.000000,,,39,.,.,39.000000,0.000000,,,135,.,.,135.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.16704782690160114,0.2903163423031767,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.4,0.0,0.0,0.0,0,0,2965089780,,0.000000,15,.,.,15.000000,0.000000,,,6,.,.,6.000000,0.000000,,,9,.,.,9.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.18751651240110176,0.6471688340663189,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.4,0.0,0.0,0.0,0,0,2965089780,,0.000000,15,.,.,15.000000,0.000000,,,6,.,.,6.000000,0.000000,,,9,.,.,9.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.18751651240110176,0.6471688340663189,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.904066,0.8784870000000001,0.0,0.891093,348,971,2965089780,,0.000000,15667,.,.,10827.000000,4840.000000,,2.2369834710743803,14164,.,.,9822.000000,4342.000000,,2.2620912022109625,1503,.,.,1005.000000,498.000000,,2.0180722891566263,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14170,.,.,9830.000000,4340.000000,,2.2649769585253456,1960,.,.,1383.000000,577.000000,,2.396880415944541,0,.,.,0.000000,0.000000,,,0.8993797348628828,0.9086027323414881,0.8733774130576188,0.8834613555608847,0.0,0.0002286706552261375
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.904066,0.8784870000000001,0.0,0.891093,348,971,2965089780,,0.000000,15667,.,.,10827.000000,4840.000000,,2.2369834710743803,14164,.,.,9822.000000,4342.000000,,2.2620912022109625,1503,.,.,1005.000000,498.000000,,2.0180722891566263,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14170,.,.,9830.000000,4340.000000,,2.2649769585253456,1960,.,.,1383.000000,577.000000,,2.396880415944541,0,.,.,0.000000,0.000000,,,0.8993797348628828,0.9086027323414881,0.8733774130576188,0.8834613555608847,0.0,0.0002286706552261375
