Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.958571,0.9539479999999999,0.0,0.956254,10364,15041,2965089780,,0.000000,830117,.,.,539368.000000,290749.000000,,1.855098383829351,795726,.,.,513640.000000,282086.000000,,1.8208631410279135,34391,.,.,25728.000000,8663.000000,,2.969871868867598,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,778468,.,.,479137.000000,282097.000000,,1.6984831458682652,37581,.,.,25683.000000,10262.000000,,2.5027285129604366,0,.,.,0.000000,0.000000,,,0.9581406102842617,0.9589979924903435,0.9534912514553139,0.9544007651779067,0.0,4.52040394205433e-06
INDEL,*,*,PASS,*,QUAL,*,0.958571,0.9539479999999999,0.0,0.956254,10364,15041,2965089780,,0.000000,830117,.,.,539368.000000,290749.000000,,1.855098383829351,795726,.,.,513640.000000,282086.000000,,1.8208631410279135,34391,.,.,25728.000000,8663.000000,,2.969871868867598,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,778468,.,.,479137.000000,282097.000000,,1.6984831458682652,37581,.,.,25683.000000,10262.000000,,2.5027285129604366,0,.,.,0.000000,0.000000,,,0.9581406102842617,0.9589979924903435,0.9534912514553139,0.9544007651779067,0.0,4.52040394205433e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,2965089780,,0.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,2965089780,,0.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.23125,0.0,0.0,0.0,0,0,2965089780,,0.000000,160,.,.,160.000000,0.000000,,,37,.,.,37.000000,0.000000,,,123,.,.,123.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.1711125943623875,0.3010082835716916,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.23125,0.0,0.0,0.0,0,0,2965089780,,0.000000,160,.,.,160.000000,0.000000,,,37,.,.,37.000000,0.000000,,,123,.,.,123.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.1711125943623875,0.3010082835716916,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.230769,0.0,0.0,0.0,0,0,2965089780,,0.000000,13,.,.,13.000000,0.000000,,,3,.,.,3.000000,0.000000,,,10,.,.,10.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.06965666863961645,0.4973721219753461,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.230769,0.0,0.0,0.0,0,0,2965089780,,0.000000,13,.,.,13.000000,0.000000,,,3,.,.,3.000000,0.000000,,,10,.,.,10.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.06965666863961645,0.4973721219753461,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.9058930000000001,0.8845629999999999,0.0,0.895101,335,896,2965089780,,0.000000,15748,.,.,10916.000000,4832.000000,,2.259105960264901,14266,.,.,9921.000000,4345.000000,,2.28331415420023,1482,.,.,995.000000,487.000000,,2.0431211498973307,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14268,.,.,9926.000000,4342.000000,,2.286043298019346,1862,.,.,1287.000000,575.000000,,2.2382608695652175,0,.,.,0.000000,0.000000,,,0.9012579961935488,0.9103784490347145,0.8795626385706349,0.8894252210175411,0.0,0.0002286706552261375
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.9058930000000001,0.8845629999999999,0.0,0.895101,335,896,2965089780,,0.000000,15748,.,.,10916.000000,4832.000000,,2.259105960264901,14266,.,.,9921.000000,4345.000000,,2.28331415420023,1482,.,.,995.000000,487.000000,,2.0431211498973307,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14268,.,.,9926.000000,4342.000000,,2.286043298019346,1862,.,.,1287.000000,575.000000,,2.2382608695652175,0,.,.,0.000000,0.000000,,,0.9012579961935488,0.9103784490347145,0.8795626385706349,0.8894252210175411,0.0,0.0002286706552261375
